Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-10-27,45.25,44.0,45.25,44.125,91800,44.125,44.7125,45.23875,43.12640625,40.595390625
2000-10-30,47.4375,43.0625,44.0,47.0625,115400,47.0625,44.895833333333336,45.28375,43.17640625,40.653203125
2000-10-31,47.875,46.125,47.0,46.6875,239200,46.6875,44.96666666666667,45.32,43.22515625,40.711015625
2000-11-01,47.5625,46.25,46.875,46.375,37900,46.375,44.8875,45.31625,43.26578125,40.766328125
2000-11-02,47.625,46.5625,46.625,47.4375,126900,47.4375,45.104166666666664,45.3625,43.30078125,40.829140625
2000-11-03,50.5625,47.125,48.0,50.0625,261500,50.0625,45.6875,45.4375,43.40828125,40.905078125
2000-11-06,51.5,49.4375,51.5,49.875,565400,49.875,46.145833333333336,45.515,43.52140625,40.981328125
2000-11-07,50.1875,49.125,49.875,49.5625,171400,49.5625,46.545833333333334,45.58375,43.64453125,41.058203125
2000-11-08,49.625,48.0625,49.5,48.875,117800,48.875,46.71666666666667,45.6225,43.76890625,41.132890625
2000-11-09,48.9375,47.3125,48.875,48.9375,119200,48.9375,46.854166666666664,45.68875,43.88328125,41.211640625
2000-11-10,48.375,47.375,48.3125,47.375,45600,47.375,47.0375,45.69,43.97765625,41.286953125
2000-11-13,47.25,46.0625,47.125,47.25,59400,47.25,47.15833333333333,45.6675,44.06828125,41.363828125
2000-11-14,48.8125,46.8125,47.0625,48.8125,83200,48.8125,47.42916666666667,45.7075,44.17953125,41.447890625
2000-11-15,50.5,48.6875,48.6875,50.3125,147500,50.3125,47.86666666666667,45.79625,44.28703125,41.537578125
2000-11-16,50.75,50.0,50.4375,50.0625,99500,50.0625,48.1875,45.86625,44.39265625,41.612890625
2000-11-17,50.875,49.0625,50.3125,50.875,215200,50.875,48.6375,45.9675,44.50140625,41.677890625
2000-11-20,50.75,47.8125,50.75,47.875,154400,47.875,48.69166666666667,45.98875,44.58453125,41.727265625
2000-11-21,48.3125,47.5625,47.9375,48.0625,74700,48.0625,48.78333333333333,46.02375,44.665,41.780703125
2000-11-22,47.9375,46.75,47.875,47.625,25900,47.625,48.86666666666667,46.05,44.753125,41.833515625
2000-11-24,50.0,47.4375,47.625,50.0,53700,50.0,49.0375,46.1325,44.875625,41.896640625
2000-11-27,50.875,49.75,49.75,50.0625,124000,50.0625,49.0375,46.2275,44.985625,41.960390625
2000-11-28,49.1875,48.125,49.1875,48.625,219100,48.625,48.954166666666666,46.295,45.073125,42.014140625
2000-11-29,48.75,48.0625,48.625,48.5625,91200,48.5625,48.8875,46.3475,45.149375,42.066015625
